"m (Meter)"	"qc (MN/m�)"	"fs (kN/m�)"	"u2 (kN/m�)"	"� (Ix)"	"� (Iy)"	" ()"	" ()"	" ()"	"Cm/s"
"0.00"	"0.00"	"0.000"	"0.00"	"0.46"	"-0.06"	"Disabled"	"Disabled"	"Disabled"	"0.00"	
"0.01"	"1.01"	"0.920"	"0.42"	"0.17"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"0.01"	
"0.02"	"1.49"	"-1.080"	"0.54"	"0.11"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"0.03"	"2.02"	"3.500"	"0.68"	"0.29"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"1.50"	
"0.04"	"2.55"	"4.160"	"0.97"	"0.11"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"0.05"	"2.96"	"9.680"	"1.10"	"0.23"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"1.48"	
"0.06"	"3.25"	"16.380"	"-8.05"	"0.00"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"1.69"	
"0.07"	"3.56"	"18.380"	"-9.26"	"0.00"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"0.41"	
"0.08"	"3.83"	"24.620"	"-20.41"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"0.09"	"3.98"	"28.460"	"-19.67"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"0.10"	"4.10"	"34.800"	"-18.70"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.48"	
"0.11"	"4.28"	"38.320"	"-18.44"	"0.11"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"0.12"	"4.50"	"44.100"	"-13.91"	"0.17"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.60"	
"0.13"	"4.67"	"46.240"	"-2.88"	"0.11"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.50"	
"0.14"	"4.88"	"48.620"	"-0.57"	"0.17"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"0.15"	"5.12"	"49.660"	"-0.37"	"0.17"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"1.48"	
"0.16"	"5.34"	"53.620"	"-0.31"	"0.11"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"0.17"	"5.67"	"53.540"	"-0.36"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.18"	"5.90"	"53.960"	"-0.43"	"0.17"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.19"	"6.12"	"53.280"	"-0.46"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.20"	"6.37"	"52.500"	"-0.53"	"0.29"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"0.21"	"6.49"	"51.060"	"-0.55"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"0.22"	"6.57"	"49.320"	"-0.62"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.23"	"6.66"	"47.080"	"-0.60"	"0.23"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.24"	"6.80"	"43.520"	"-0.49"	"0.17"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"0.25"	"6.94"	"40.860"	"-0.41"	"0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"0.26"	"7.08"	"39.380"	"-0.34"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.27"	"7.26"	"38.400"	"-0.29"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"0.28"	"7.30"	"38.920"	"-0.31"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.29"	"7.35"	"39.680"	"-0.34"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.30"	"7.33"	"40.800"	"-0.34"	"0.11"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"0.31"	"7.21"	"40.960"	"-0.29"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.32"	"7.08"	"41.540"	"-0.25"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.33"	"6.80"	"42.480"	"-0.20"	"0.11"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.34"	"6.36"	"43.740"	"-0.22"	"0.11"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"0.35"	"5.81"	"44.460"	"-0.24"	"0.11"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.56"	
"0.36"	"5.17"	"45.900"	"-0.13"	"0.17"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"0.37"	"4.59"	"48.360"	"-0.08"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.38"	"4.08"	"50.940"	"-0.05"	"0.11"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.39"	"3.67"	"53.740"	"0.06"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.40"	"3.36"	"57.900"	"0.19"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"0.41"	"3.15"	"61.660"	"0.42"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"0.42"	"2.94"	"65.380"	"0.56"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.43"	"2.74"	"70.600"	"0.69"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.44"	"2.58"	"74.320"	"1.43"	"0.11"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.45"	"2.43"	"79.340"	"3.88"	"0.06"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.46"	"2.29"	"87.060"	"5.68"	"0.17"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"0.47"	"2.26"	"90.260"	"5.98"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.48"	"2.28"	"86.760"	"6.06"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.49"	"2.28"	"85.480"	"6.48"	"0.06"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.50"	"2.44"	"86.920"	"9.03"	"0.06"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"0.08"	
"0.51"	"2.51"	"87.920"	"9.95"	"0.06"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"0.52"	"2.58"	"89.160"	"11.06"	"0.11"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.48"	
"0.53"	"2.62"	"90.760"	"11.33"	"0.11"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.50"	
"0.54"	"2.54"	"93.460"	"11.76"	"0.11"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"0.55"	"2.45"	"94.640"	"11.11"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"0.56"	"2.26"	"91.780"	"4.57"	"0.11"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
