datetime,air_temperature,running_status,sonic_status,operation_mode,location_status,location,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,rotation_speed_duo,rotation_pressure_duo,G_force_z,G_force_x,G_force_y,date_time,sonic_frequency,torque,torque_duo,penetration_speed
35:12.0,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,208.45,29.65,42.175,7.925,0.6,0.6,0,0.3,0.01,0.01,1532.03,7.36,0,0,0.438362,0.472931,0.466494,35:12.0,25.533833333333334,465.50499999999994,0,0.10258163788681825
35:12.1,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,211.35,29.675,40.375,7.4,0,0.6,0,0.3,0.02,0.02,1532.03,7.36,0,0,0.438362,0.472931,0.466494,35:12.1,25.533833333333334,465.8975,0,3.389830508474576
35:12.3,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,207.3,29.85,39.625,6.95,0,0.6,0,0.3,0.03,0.03,2826.28,14.64,0,0,0.438362,0.472931,0.466494,35:12.3,47.10466666666667,468.645,0,3.7267080745341605
35:12.4,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,195.55,30.225,38.7,6.75,0,0.6,0,0.319,0.04,0.04,2826.28,14.64,0,0,0.438362,0.472931,0.466494,35:12.4,47.10466666666667,474.5325,0,4.285714285714286
35:12.6,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,192.075,31.5,35.125,6.675,0,0.6,0,0.319,0.05,0.05,2826.28,14.64,0,0,0.438362,0.472931,0.466494,35:12.6,47.10466666666667,494.54999999999995,0,5.042016807
35:12.8,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,190.6,34.05,34.575,6.225,0,0.6,0,0.319,0.06,0.06,4266.86,14.64,0,0,0.456749,0.482051,0.475762,35:12.8,71.11433333333333,534.5849999999999,0,2.1818181818181803
35:13.1,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,185.825,35.775,34.35,5.95,0.3,0.3,0,0.319,0.07,0.07,4266.86,14.64,0,0,0.456749,0.482051,0.475762,35:13.1,71.11433333333333,561.6674999999999,0,2.343750000000002
35:13.3,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,182.15,37.05,33.85,5.75,0.3,0.3,0,0.3,0.08,0.08,5688.81,14.64,0,0,0.456749,0.482051,0.475762,35:13.3,94.8135,581.685,0,2.4691358024691343
35:13.7,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,182.025,37.8,33.75,5.525,0.8,0.3,0,0.3,0.09,0.09,7065.99,14.64,0,0,0.456749,0.482051,0.475762,35:13.7,117.7665,593.4599999999999,0,1.7191977077363887
35:13.9,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,179.6,40.75,34.75,5.4,0.8,-0.4,0,0.3,0.1,0.1,7065.99,14.29,0,0,0.456749,0.482051,0.475762,35:13.9,117.7665,639.775,0,2.6200873362445436
35:14.1,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,177.175,44.3,36.6,5.375,0.8,-0.4,0,0.3,0.11,0.11,7065.99,14.29,0,0,0.456749,0.482051,0.475762,35:14.1,117.7665,695.5099999999999,0,3.0303030303030285
35:14.4,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,175.4,46.6,38.325,5.35,0.8,-0.4,0,0.3,0.12,0.12,7967.76,21.97,0,0,0.456749,0.482051,0.475762,35:14.4,132.796,731.62,0,2.189781021897809
35:14.6,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,175.975,46.725,39.05,5.325,0.3,-0.4,0,0.3,0.13,0.13,7967.76,21.97,0,0,0.456749,0.482051,0.475762,35:14.6,132.796,733.5825,0,3.0000000000000027
35:14.8,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,175.8,46.675,40.1,5.35,0.3,0.4,0,0.3,0.14,0.14,8436.69,29.31,0,0,0.456749,0.482051,0.475762,35:14.8,140.6115,732.7974999999999,0,2.5210084033613467
35:15.2,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,172.95,46.6,38.975,5.325,0.3,0.4,0,0.3,0.15,0.15,8436.69,29.31,0,0,0.456749,0.482051,0.475762,35:15.2,140.6115,731.62,0,1.7910447761193995
35:15.3,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,172.525,47.075,37.25,5.375,0.5,0.4,0,0.3,0.16,0.16,8551.7,29.21,0,0,0.456749,0.482051,0.475762,35:15.3,142.52833333333334,739.0775,0,3.6144578313253044
35:15.4,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,172.7,47.575,37.825,5.3,0.5,0.4,0.006,0.3,0.17,0.17,8551.7,29.21,0,0,0.456749,0.482051,0.475762,35:15.4,142.52833333333334,746.9275,0,5.128205128205132
35:15.7,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,173.4,48.35,37.075,5.325,0.5,0.7,0.006,0.319,0.18,0.18,8551.7,29.21,0,0,0.456749,0.482051,0.475762,35:15.7,142.52833333333334,759.095,0,2.5316455696202484
35:15.9,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,173.275,48.45,37,5.3,0.5,0.7,0.006,0.319,0.19,0.19,8529.53,36.71,0,0,0.456749,0.482051,0.475762,35:15.9,142.15883333333335,760.665,0,3.0456852791878197
35:16.0,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,173.15,48.425,37.1,5.325,0.5,0.7,0.006,0.319,0.2,0.2,8529.53,36.71,0,0,0.456749,0.482051,0.475762,35:16.0,142.15883333333335,760.2724999999999,0,3.797468354430383
35:16.2,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,173.075,48.375,36.725,5.325,0.7,0.7,0,0.319,0.21,0.21,8565.9,44.02,0,0,0.456749,0.482051,0.475762,35:16.2,142.765,759.4875,0,2.955665024630536
35:16.5,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,172.65,48.55,36.75,5.275,0.7,0.2,0,0.319,0.22,0.22,8565.9,44.02,0,0,0.456749,0.482051,0.475762,35:16.5,142.765,762.2349999999999,0,2.4193548387096797
