depth,qc,fs
0.00,0.00,0.000
0.01,1.01,0.920
0.02,1.49,-1.080
0.03,2.02,3.500
0.04,2.55,4.160
0.05,2.96,9.680
0.06,3.25,16.380
0.07,3.56,18.380
0.08,3.83,24.620
0.09,3.98,28.460
0.10,4.10,34.800
0.11,4.28,38.320
0.12,4.50,44.100
0.13,4.67,46.240
0.14,4.88,48.620
0.15,5.12,49.660
0.16,5.34,53.620
0.17,5.67,53.540
0.18,5.90,53.960
0.19,6.12,53.280
0.20,6.37,52.500
0.21,6.49,51.060
0.22,6.57,49.320
0.23,6.66,47.080
0.24,6.80,43.520
0.25,6.94,40.860
0.26,7.08,39.380
0.27,7.26,38.400
0.28,7.30,38.920
0.29,7.35,39.680
0.30,7.33,40.800
0.31,7.21,40.960
0.32,7.08,41.540
0.33,6.80,42.480
0.34,6.36,43.740
0.35,5.81,44.460
0.36,5.17,45.900
0.37,4.59,48.360
0.38,4.08,50.940
0.39,3.67,53.740
0.40,3.36,57.900
0.41,3.15,61.660
0.42,2.94,65.380
0.43,2.74,70.600
0.44,2.58,74.320
0.45,2.43,79.340
0.46,2.29,87.060
0.47,2.26,90.260
0.48,2.28,86.760
0.49,2.28,85.480
0.50,2.44,86.920
0.51,2.51,87.920
0.52,2.58,89.160
0.53,2.62,90.760
0.54,2.54,93.460
0.55,2.45,94.640
0.56,2.26,91.780
0.57,2.20,90.320
0.58,2.13,88.540
0.59,2.14,87.820
0.60,2.22,89.660
0.61,2.56,89.640
0.62,2.92,86.420
0.63,3.36,85.100
0.64,3.76,84.760
0.65,4.00,82.400
0.66,4.00,78.560
0.67,4.02,75.940
0.68,4.05,79.220
0.69,4.45,83.300
0.70,4.60,82.000
0.71,4.61,85.840
0.72,4.51,84.700
0.73,4.26,86.900
0.74,4.13,91.020
0.75,4.24,89.780
0.76,4.20,86.780
0.77,3.89,87.960
0.78,3.90,93.360
0.79,3.97,92.240
0.80,3.90,92.500
0.81,3.69,95.020
0.82,3.51,98.580
0.83,3.24,96.420
0.84,2.89,96.820
0.85,2.49,93.340
0.86,2.23,92.700
0.87,1.79,93.560
0.88,1.65,94.880
0.89,1.51,95.940
0.90,1.53,92.920
0.91,1.55,86.160
0.92,1.60,80.980
0.93,1.70,76.720
0.94,1.77,72.020
0.95,1.74,70.400
0.96,1.65,68.320
0.97,1.55,66.160
0.98,1.59,56.200
0.99,1.59,56.140
1.00,1.54,54.160
1.01,1.49,53.180
1.02,1.49,54.540
1.03,1.48,53.520
1.04,1.45,53.640
1.05,1.43,53.740
1.06,1.37,53.460
1.07,1.29,53.440
1.08,1.80,55.680
1.09,1.95,51.680
1.10,1.92,50.200
1.11,1.82,48.140
1.12,1.77,46.660
1.13,1.65,41.760
1.14,1.57,39.820
1.15,1.52,39.220
1.16,1.34,37.960
1.17,1.24,39.340
1.18,1.23,37.620
