datetime,air_temperature,sonic_status,operation_mode,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,G_force_z,G_force_x,G_force_y,sonic_frequency,torque,penetration_speed,qc,fs
35:12.0,18.1,1,1,1,208.45,29.65,42.175,7.925,0.6,0.6,0.0,0.3,0.01,0.01,1532.03,7.36,0.438362,0.472931,0.466494,25.53383333333333,465.505,0.1025816378868182,1.01,0.92
35:12.1,18.1,1,1,1,211.35,29.675,40.375,7.4,0.0,0.6,0.0,0.3,0.02,0.02,1532.03,7.36,0.438362,0.472931,0.466494,25.53383333333333,465.8975,3.389830508474576,1.49,-1.08
35:12.3,18.1,1,1,1,207.3,29.85,39.625,6.95,0.0,0.6,0.0,0.3,0.03,0.03,2826.28,14.64,0.438362,0.472931,0.466494,47.10466666666667,468.645,3.726708074534161,2.02,3.5
35:12.4,18.1,1,1,1,195.55,30.225,38.7,6.75,0.0,0.6,0.0,0.319,0.04,0.04,2826.28,14.64,0.438362,0.472931,0.466494,47.10466666666667,474.5325,4.285714285714286,2.55,4.16
35:12.6,18.1,1,1,1,192.075,31.5,35.125,6.675,0.0,0.6,0.0,0.319,0.05,0.05,2826.28,14.64,0.438362,0.472931,0.466494,47.10466666666667,494.55,5.042016807,2.96,9.68
35:12.8,18.1,1,1,1,190.6,34.05,34.575,6.225,0.0,0.6,0.0,0.319,0.06,0.06,4266.86,14.64,0.456749,0.482051,0.475762,71.11433333333333,534.5849999999999,2.1818181818181803,3.25,16.38
35:13.1,18.1,1,1,1,185.825,35.775,34.35,5.95,0.3,0.3,0.0,0.319,0.07,0.07,4266.86,14.64,0.456749,0.482051,0.475762,71.11433333333333,561.6674999999999,2.343750000000002,3.56,18.38
35:13.3,18.1,1,1,1,182.15,37.05,33.85,5.75,0.3,0.3,0.0,0.3,0.08,0.08,5688.81,14.64,0.456749,0.482051,0.475762,94.8135,581.685,2.4691358024691343,3.83,24.62
35:13.7,18.1,1,1,1,182.025,37.8,33.75,5.525,0.8,0.3,0.0,0.3,0.09,0.09,7065.99,14.64,0.456749,0.482051,0.475762,117.7665,593.4599999999999,1.7191977077363887,3.98,28.46
35:13.9,18.1,1,1,1,179.6,40.75,34.75,5.4,0.8,-0.4,0.0,0.3,0.1,0.1,7065.99,14.29,0.456749,0.482051,0.475762,117.7665,639.775,2.620087336244544,4.1,34.8
35:14.1,18.1,1,1,1,177.175,44.3,36.6,5.375,0.8,-0.4,0.0,0.3,0.11,0.11,7065.99,14.29,0.456749,0.482051,0.475762,117.7665,695.5099999999999,3.0303030303030285,4.28,38.32
35:14.4,18.1,1,1,1,175.4,46.6,38.325,5.35,0.8,-0.4,0.0,0.3,0.12,0.12,7967.76,21.97,0.456749,0.482051,0.475762,132.796,731.62,2.189781021897809,4.5,44.1
35:14.6,18.1,1,1,1,175.975,46.725,39.05,5.325,0.3,-0.4,0.0,0.3,0.13,0.13,7967.76,21.97,0.456749,0.482051,0.475762,132.796,733.5825,3.0000000000000027,4.67,46.24
35:14.8,18.1,1,1,1,175.8,46.675,40.1,5.35,0.3,0.4,0.0,0.3,0.14,0.14,8436.69,29.31,0.456749,0.482051,0.475762,140.6115,732.7974999999999,2.5210084033613467,4.88,48.62
35:15.2,18.1,1,1,1,172.95,46.6,38.975,5.325,0.3,0.4,0.0,0.3,0.15,0.15,8436.69,29.31,0.456749,0.482051,0.475762,140.6115,731.62,1.7910447761193995,5.12,49.66
35:15.3,18.1,1,1,1,172.525,47.075,37.25,5.375,0.5,0.4,0.0,0.3,0.16,0.16,8551.7,29.21,0.456749,0.482051,0.475762,142.52833333333334,739.0775,3.614457831325304,5.34,53.62
35:15.4,18.1,1,1,1,172.7,47.575,37.825,5.3,0.5,0.4,0.006,0.3,0.17,0.17,8551.7,29.21,0.456749,0.482051,0.475762,142.52833333333334,746.9275,5.128205128205132,5.67,53.54
35:15.7,18.1,1,1,1,173.4,48.35,37.075,5.325,0.5,0.7,0.006,0.319,0.18,0.18,8551.7,29.21,0.456749,0.482051,0.475762,142.52833333333334,759.095,2.5316455696202484,5.9,53.96
35:15.9,18.1,1,1,1,173.275,48.45,37.0,5.3,0.5,0.7,0.006,0.319,0.19,0.19,8529.53,36.71,0.456749,0.482051,0.475762,142.15883333333335,760.665,3.04568527918782,6.12,53.28
35:16.0,18.1,1,1,1,173.15,48.425,37.1,5.325,0.5,0.7,0.006,0.319,0.2,0.2,8529.53,36.71,0.456749,0.482051,0.475762,142.15883333333335,760.2724999999999,3.797468354430383,6.37,52.5
35:16.2,18.1,1,1,1,173.075,48.375,36.725,5.325,0.7,0.7,0.0,0.319,0.21,0.21,8565.9,44.02,0.456749,0.482051,0.475762,142.765,759.4875,2.955665024630536,6.49,51.06
35:16.5,18.1,1,1,1,172.65,48.55,36.75,5.275,0.7,0.2,0.0,0.319,0.22,0.22,8565.9,44.02,0.456749,0.482051,0.475762,142.765,762.2349999999999,2.41935483870968,6.57,49.32
35:16.6,18.1,1,1,1,172.15,48.625,37.475,5.3,0.7,0.2,0.0,0.319,0.23,0.23,8565.9,44.02,0.456749,0.482051,0.475762,142.765,763.4124999999999,3.680981595092028,6.66,47.08
35:16.8,18.1,1,1,1,171.175,48.4,38.25,5.3,0.7,0.2,0.0,0.319,0.24,0.24,8507.78,44.32,0.456749,0.482051,0.475762,141.79633333333334,759.88,3.896103896103889,6.8,43.52
35:17.0,18.1,1,1,1,171.25,47.425,38.4,5.3,-0.2,0.2,0.0,0.319,0.25,0.25,8507.78,44.32,0.456749,0.482051,0.475762,141.79633333333334,744.5724999999999,3.5087719298245643,6.94,40.86
35:17.2,18.1,1,1,1,171.175,46.775,38.825,5.3,-0.2,0.6,0.0,0.319,0.26,0.26,8580.32,44.32,0.456749,0.482051,0.475762,143.00533333333334,734.3675,2.690582959641258,7.08,39.38
35:17.3,18.1,1,1,1,170.525,46.775,38.75,5.325,-0.2,0.6,0.0,0.319,0.27,0.27,8580.32,51.29,0.456749,0.482051,0.475762,143.00533333333334,734.3675,4.800000000000004,7.26,38.4
35:17.5,18.1,1,1,1,170.525,46.65,38.275,5.275,-0.2,0.6,0.0,0.319,0.28,0.28,8580.32,51.29,0.456749,0.482051,0.475762,143.00533333333334,732.405,2.926829268292685,7.3,38.92
35:17.7,18.1,1,1,1,171.375,43.45,38.35,5.25,-0.2,0.6,0.0,0.319,0.29,0.29,8496.74,51.34,0.456749,0.482051,0.475762,141.61233333333334,682.165,2.926829268292669,7.35,39.68
35:17.9,18.1,1,1,1,171.975,45.8,38.375,5.25,-0.2,0.6,0.0,0.319,0.3,0.3,8496.74,51.34,8.01082,5.12552,4.10992,141.61233333333334,719.06,3.797468354430383,7.33,40.8
35:18.1,18.1,1,1,1,169.025,48.125,39.0,5.25,-0.2,0.5,0.0,0.3,0.31,0.31,8496.74,51.34,8.01082,5.12552,4.10992,141.61233333333334,755.5625,2.690582959641258,7.21,40.96
35:18.3,18.1,1,1,1,167.675,47.6,39.1,5.275,-0.2,0.5,0.0,0.3,0.32,0.32,8587.13,51.44,8.01082,5.12552,4.10992,143.11883333333333,747.3199999999999,3.658536585365857,7.08,41.54
35:18.4,18.1,1,1,1,168.875,47.575,39.15,5.25,-0.2,0.5,0.0,0.3,0.33,0.33,8587.13,51.44,8.01082,5.12552,4.10992,143.11883333333333,746.9275,3.8216560509554176,6.8,42.48
35:18.7,18.1,1,1,1,169.6,47.75,37.9,5.275,0.0,1.0,0.0,0.3,0.34,0.34,8587.13,51.44,8.01082,5.12552,4.10992,143.11883333333333,749.675,2.531645569620256,6.36,43.74
35:18.9,18.1,1,1,1,170.025,48.2,38.1,5.25,0.0,1.0,0.0,0.319,0.35,0.35,8614.06,51.28,8.01082,5.12552,4.10992,143.56766666666667,756.74,3.030303030303016,5.81,44.46
35:19.0,18.1,1,1,1,170.55,48.3,38.25,5.225,0.0,1.0,0.0,0.319,0.36,0.36,8614.06,51.28,8.01082,5.12552,4.10992,143.56766666666667,758.31,4.580152671755729,5.17,45.9
35:19.2,18.1,1,1,1,170.175,48.9,38.125,5.275,0.0,1.0,0.0,0.319,0.37,0.37,8558.57,51.28,8.01082,5.12552,4.10992,142.64283333333333,767.7299999999999,3.061224489795921,4.59,48.36
35:19.4,18.1,1,1,1,169.4,49.25,38.075,5.275,0.0,1.0,0.006,0.319,0.38,0.38,8558.57,51.34,8.01082,5.12552,4.10992,142.64283333333333,773.2249999999999,2.459016393442625,4.08,50.94
35:19.6,18.1,1,1,1,169.475,49.05,38.4,5.25,0.0,0.7,0.006,0.319,0.39,0.39,8558.57,51.34,8.01082,5.12552,4.10992,142.64283333333333,770.0849999999999,4.9180327868852505,3.67,53.74
35:19.8,18.1,1,1,1,170.525,49.15,36.725,5.275,0.0,0.7,0.006,0.319,0.4,0.4,8603.6,51.21,8.01082,5.12552,4.10992,143.39333333333337,771.655,2.926829268292685,3.36,57.9
35:20.0,18.1,1,1,1,168.625,49.9,36.5,5.3,0.0,0.7,0.006,0.319,0.41,0.41,8603.6,51.21,8.01082,5.12552,4.10992,143.39333333333337,783.43,2.702702703,3.15,61.66
35:20.1,18.1,1,1,1,167.9,50.4,35.9,5.25,0.6,0.7,0.006,0.319,0.42,0.42,8603.6,51.21,8.01082,5.12552,4.10992,143.39333333333337,791.28,3.680981595092028,2.94,65.38
35:20.3,18.1,1,1,1,169.625,51.35,35.025,5.275,0.6,1.2,0.012,0.319,0.43,0.43,8577.63,44.05,8.01082,5.12552,4.10992,142.9605,806.1949999999999,3.061224489795921,2.74,70.6
35:20.6,18.1,1,1,1,170.625,52.8,34.65,5.3,0.6,1.2,0.012,0.319,0.44,0.44,8577.63,44.05,8.01082,5.12552,4.10992,142.9605,828.9599999999999,2.5210084033613467,2.58,74.32
35:20.8,18.1,1,1,1,170.825,55.025,32.85,5.3,0.6,1.2,0.012,0.319,0.45,0.45,8646.52,43.95,8.01082,5.12552,4.10992,144.10866666666666,863.8924999999999,3.030303030303033,2.43,79.34
35:21.0,18.1,1,1,1,171.95,56.925,31.325,5.325,0.5,1.2,0.012,0.319,0.46,0.46,8646.52,43.95,8.01082,5.12552,4.10992,144.10866666666666,893.7225,2.843601896,2.29,87.06
35:21.3,18.1,1,1,1,171.175,59.975,31.125,5.325,0.5,-1.5,0.012,0.319,0.47,0.47,8550.95,44.02,8.01082,5.12552,4.10992,142.51583333333335,941.6075,1.8808777429467,2.26,90.26
35:21.5,18.1,1,1,1,170.8,62.1,30.5,5.325,0.5,-1.5,0.012,0.319,0.48,0.48,8550.95,44.02,8.01082,5.12552,4.10992,142.51583333333335,974.97,3.797468354430383,2.28,86.76
35:21.7,18.1,1,1,1,171.2,64.475,29.075,5.35,0.8,-1.5,0.012,0.319,0.49,0.49,8549.19,44.02,8.01082,5.12552,4.10992,142.4865,1012.2574999999998,2.469135802469138,2.28,85.48
35:22.0,18.2,1,1,1,171.425,64.475,28.95,5.35,0.8,-1.4,0.012,0.3,0.5,0.5,8549.19,44.02,8.01082,5.12552,4.10992,142.4865,1012.2574999999998,2.142857142857145,2.44,86.92
35:22.3,18.1,1,1,1,172.45,66.45,26.975,5.35,0.8,-1.4,0.012,0.3,0.51,0.51,8534.71,51.04,8.01082,5.12552,4.10992,142.24516666666665,1043.265,1.880877743,2.51,87.92
35:22.4,18.1,1,1,1,171.925,67.475,27.15,5.325,0.8,-1.4,0.012,0.3,0.52,0.52,8534.71,51.04,8.01082,5.12552,4.10992,142.24516666666665,1059.3574999999998,4.800000000000004,2.58,89.16
35:22.7,18.1,1,1,1,170.9,67.05,27.6,5.375,0.7,0.2,0.006,0.3,0.53,0.53,8534.71,51.04,8.01082,5.12552,4.10992,142.24516666666665,1052.685,2.459016393442625,2.62,90.76
35:23.0,18.1,1,1,1,172.975,68.95,26.675,5.4,0.7,0.2,0.006,0.319,0.54,0.54,8569.16,51.32,11.2759,6.5755,4.10992,142.81933333333333,1082.515,2.083333333333336,2.54,93.46
